15.12.2021. 15:59:19 : Starting Network Model Service...
15.12.2021. 16:19:41 : Inserting entity with GID (0000000400000047).
15.12.2021. 16:19:41 : Inserting entity with GID (000000050000000b).
15.12.2021. 16:19:41 : The WCF service GenericDataAccess is ready.
15.12.2021. 16:19:41 : Endpoints:
15.12.2021. 16:19:41 : net.tcp://localhost:10000/NetworkModelService/GDA/
15.12.2021. 16:19:41 : Connection string: ../NetworkModelData.data
15.12.2021. 16:19:41 : Trace level: Info
15.12.2021. 16:19:41 : The Network Model Service is started.
15.12.2021. 16:19:41 : Press <Enter> to stop the service.
15.12.2021. 16:20:48 : Starting Network Model Service...
15.12.2021. 16:20:48 : Inserting entity with GID (0000000100000001).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000001).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000002).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000003).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000004).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000005).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000006).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000007).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000001).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000002).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000003).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000004).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000005).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000006).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000007).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000001).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000002).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000003).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000004).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000005).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000006).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000007).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000008).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000009).
15.12.2021. 16:20:48 : Inserting entity with GID (000000040000000a).
15.12.2021. 16:20:48 : Inserting entity with GID (000000040000000b).
15.12.2021. 16:20:48 : Inserting entity with GID (000000040000000c).
15.12.2021. 16:20:48 : Inserting entity with GID (000000040000000d).
15.12.2021. 16:20:48 : Inserting entity with GID (000000040000000e).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000500000001).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000500000002).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000100000002).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000008).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000009).
15.12.2021. 16:20:48 : Inserting entity with GID (000000020000000a).
15.12.2021. 16:20:48 : Inserting entity with GID (000000020000000b).
15.12.2021. 16:20:48 : Inserting entity with GID (000000020000000c).
15.12.2021. 16:20:48 : Inserting entity with GID (000000020000000d).
15.12.2021. 16:20:48 : Inserting entity with GID (000000020000000e).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000008).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000009).
15.12.2021. 16:20:48 : Inserting entity with GID (000000030000000a).
15.12.2021. 16:20:48 : Inserting entity with GID (000000030000000b).
15.12.2021. 16:20:48 : Inserting entity with GID (000000030000000c).
15.12.2021. 16:20:48 : Inserting entity with GID (000000030000000d).
15.12.2021. 16:20:48 : Inserting entity with GID (000000030000000e).
15.12.2021. 16:20:48 : Inserting entity with GID (000000040000000f).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000010).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000011).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000012).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000013).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000014).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000015).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000016).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000017).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000018).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000400000019).
15.12.2021. 16:20:48 : Inserting entity with GID (000000040000001a).
15.12.2021. 16:20:48 : Inserting entity with GID (000000040000001b).
15.12.2021. 16:20:48 : Inserting entity with GID (000000040000001c).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000500000003).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000500000004).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000100000003).
15.12.2021. 16:20:48 : Inserting entity with GID (000000020000000f).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000010).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000011).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000012).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000013).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000014).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000200000015).
15.12.2021. 16:20:48 : Inserting entity with GID (000000030000000f).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000010).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000011).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000012).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000013).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000014).
15.12.2021. 16:20:48 : Inserting entity with GID (0000000300000015).
15.12.2021. 16:20:48 : Inserting entity with GID (000000040000001d).
